"Timestamp","How would you describe Wren?","Wren seems... [Expressive]","Wren seems... [Annoying]","Wren seems... [Friendly]","Wren seems... [Cute]","Wren seems... [Cisgender]","Wren seems... [Feminine]","How would you describe Sage?","Sage seems... [Expressive]","Sage seems... [Annoying]","Sage seems... [Friendly]","Sage seems... [Cute]","Sage seems... [Cisgender]","Sage seems... [Feminine]","What do you call the ""🥺"" emoji?","What does the ""🥺"" emoji mean? ","How often do you use the ""🥺"" emoji?","If you said you used the ""🥺"" emoji, how and when do you use it?","As a ranking, how is your opinion of the ""🥺"" emoji?","Other thoughts?","Are you a college student?","What is your age?","What's your gender? (if you have one)","Are you transgender?"
"2024/04/16 6:22:55 PM MDT","kind and bubbly","Yes","No","Yes","Yes","No","Neutral;Yes","funny","Yes","No","Neutral","Neutral","No","Neutral","bottom emoji/pleading face","i'm in love with you/i really want this/thank you i didn't deserve this","1","i used to use it a lot with my last girlfriend, whenever she said something cute","2","","Yes, at Reed college","18-25","genderfluid","Yes"
"2024/04/16 6:26:59 PM MDT","","Yes","No","Yes","Neutral","No","Yes","","Neutral","No","Yes","Neutral","Yes","Neutral","i guess ""aww emoji""","i don't really feel like it has one set meaning","0","","3","","Yes, at Reed college","18-25","Nonbinary","Yes"
"2024/04/16 6:49:44 PM MDT","Sincere","Yes","No;Yes","Yes","Neutral","Neutral","Yes","Bored","No","No","Neutral","No","Yes","No","I don't give it a name","Please","0","","2","","Yes, at Reed college","18-25","Man","No"
"2024/04/16 7:19:34 PM MDT","this doesn’t give me a lot but they could be gay","Neutral","No","Yes","Yes","Neutral","Yes","🥺 is gay i must say. either a little insecure or intentionally portraying themself that way.","Neutral","No","Yes","Yes","No","Yes","i don’t have a name for it","it either indicates begging or like and “awwww”","2","I use it in a queer discord server and with my partner, whenever someone says they love me or something like that or i want it to be known that i think something is cute.","3","it’s gay","Yes, at Reed college","18-25","Woman","Yes"
"2024/04/16 7:21:54 PM MDT","Ummm… unconfident? I identify with wren cause whenever I say thanks it sounds insincere cause I say it too deeply/meaningfully.","Yes","Yes","Yes","Neutral","No","Yes","Smooth, a little sad, kind","Neutral","No","No","Yes","No","No","Probably begging emoji, baby face emoji, I’m the right context fuck me eyes emoji","I’m just a lil’ guy, just a small bean","1","To say please","2","","Yes, at Reed college","18-25","Man","No"
"2024/04/16 7:29:26 PM MDT","Insecure, evil, tenderqueer","Yes","Yes","Yes","No","Neutral","Neutral","Annoying, self victimizing, inconclusive, needy","Neutral;Yes","Yes","Yes","No","Yes","Yes","Puppy dog","Begging","1","In irony only","0","","Yes, at Reed college","18-25","Nonbinary","No"
"2024/04/16 8:03:29 PM MDT","Seems nice enough, kind of awkward…maybe likes Sunny? Very annoying","No","Yes","Yes","No","Yes","Yes","Lonely, needy? Incapable of being direct ","Yes","Yes","Yes","Neutral","Neutral","Yes","Begging face, but I also sometimes use it when things are very cute","Please or aww","2","Reacting to cute instagram reels that friends send me, also when I feel like being annoying or if I’m asking for something","2","This is a really cool project I hope you have interesting results","Yes, at Reed college","18-25","Woman","No"
"2024/04/16 8:17:02 PM MDT","Insecure. Flattered, but saddened by Sunny’s compliments, as if they don’t believe they deserve them. ","No","No","Yes","Yes","Neutral","Yes","A bit lonely. Desiring attention and trying to play it off as casual/ a joke.","Yes","Yes","Yes","No","Neutral","Neutral","Pleading emoji","“Please,” or conveys begging. It’s like puppy-dog eyes","0","","1","","Yes, at Reed college","18-25","Genderqueer","Yes"
"2024/04/16 9:22:09 PM MDT","Expressive, anxious","Yes","Neutral","Yes","Yes","Yes","Yes","smooth, annoying, self centered","Yes","No","Yes","No","Neutral","No","Puppy eyes emoji","It technically means you want head but it’s  also like pleaseeeeeee","2","I usually use it to be annoying and it’s pleaseeeeeeee but ironically like how could you not I’m so cute and this ask is so simple and it’s like why won’t you give me $200","1","I use 🥹 which is kind of similar but it means like I’m tearing up IMO","Yes, at Reed college","18-25","Woman","No"
"2024/04/16 10:15:17 PM MDT","pretty chill","Yes","No","Yes","Neutral","Neutral","No;Neutral","not sure of what theyre doin for new years? just puttin it out to the gc","No","No","Neutral","No","Neutral","Neutral","bro i dont call it anything i just imitate the face when i need to reference it lmfao","depends on context but generally like 'pwease??' kinda begging but not? ","1","literally only for jokes","2","generally neutral on it","Yes, at Reed college","18-25","simply none","technically yes? but i dont identify as that? lol shits weird"
"2024/04/16 10:34:49 PM MDT","being kind in order to avoid discussing the implications of what sunny said","Yes","No","Yes","Yes","Yes","Yes","fishing for invitation to new years plans ","Neutral","Neutral","Yes","Neutral","Neutral","Neutral","puppy eyes","sort of like a cutesy aww type thing ","0","","2","","Yes, at Reed college","18-25","Man","No"
"2024/04/16 10:37:35 PM MDT","average","No;Neutral","No;Neutral","No;Neutral","No;Neutral","Neutral;Yes","Yes","creepy","Yes","Yes","Neutral","Neutral","Yes","No","beg eyes","pwease ","3","when i want something","4","","Yes, at Reed college","18-25","Woman","No"
"2024/04/16 11:34:08 PM MDT","""pretty cool"" :p naah mostly joking on that,

I would say Wren is probably is nice, affectionate, emotionally open at least online maybe femme leaning, if i were to totally make up a persona it would be a trans woman, but thats because thats the only person i know who uses this style is one, maybe anxious? idk theres not a lot to draw on from such little detail.","Yes","No","Yes","Neutral;Yes","Neutral","Yes","Pretty similar to Wren, I bet they're part of the same social communities. I associate the ""🥺"" emoji with the idea of ""bottoms"" because of a viral meme. 

Probably lonely, also maybe femme leaning, /shrug/ ","Yes","No","Neutral","Neutral","Neutral","Yes","""bottom emoji""","sad, pweeese, /begging/, probably aspects of vulnerability. its hard to describe an emoji. probably also attached to the above persona","0","","1","it kinda annoys me as a social signature, probably because of the related memes. as an emoji its fine? I think i wouldn't be annoyed by it except for the meme thing","Yes, at Reed college","18-25","Woman","No"
"2024/04/16 11:47:56 PM MDT","Outspoken. Nice ","Yes","No","Yes","Neutral","No","Yes","Terminally online. Uses discord. ","Yes","Neutral","Neutral","No","Neutral","No;Yes","I think of the phrase “pweaaase”","🥺👉👈 pleeease","0","","2","","Yes, at Reed college","18-25","Man","No"
"2024/04/16 11:57:57 PM MDT","Nice, bashful maybe, flattered and not quite sure how to respond to Sunny’s compliment, I’m a little creeped by the “would” in the last line though, it seems like Wren is either trying to provide a positive evaluation of Sunny in return, or thinking ahead that they might consider Sunny as a candidate for a deeper relationship almost like a job interview. (…Good person to be around for what? As a romantic partner? To help with a personal issue Wren has/be a good influence? As a roommate or just a friend with nothing deeper meant?? It’s hard to tell.)","Yes","Neutral","Yes","Yes","Neutral","Neutral","A little lonely, possibly with deeper feelings thereof but more likely just temporarily bummed that they’re a people person but don’t have anything planned with anyone on an occasion when they did hope for something. I think they’re friends with Jules because Jules is able to distract them, and Sage wants to hang out with Jules. To me it seems like either Jules and Sage are established friends or they’re an established couple, and not that Sage is asking Jules out romantically, but maybe that is Sage’s intent. It’s hard to tell without context","Yes","Neutral","Neutral","Neutral","Neutral","Neutral","Sad puppy dog eyes emoji? I don’t always have one consistent name for it, but I think of it as sad, cute, endearing, and definitely representing puppy dog eyes, almost a little cartoonishly","You’re sad and disappointed about something that happened to you or others, not like a genuine atrocity but more than a minor inconvenience, like you were hoping to meet up with a friend and you were looking forward to it for a while, and then one of you got sick and couldn’t make it after all (like for sad or surprising/disappointing news)","3","Whenever it feels appropriate I guess, again not for genuine tragedies where someone died or got seriously hurt, but something on the level up to maybe crying a teensy bit or being really bummed. I also sometimes use it in a tongue-in-cheek way to imply that someone is so innocent or wholesome that they would be bummed to the point of tears by something as, say, going to a bakery and finding their favorite doughnut is out of stock, because they love and appreciate the doughnut just that much — it’s a very endearing and cute and wholesome emoji for me.","4","","Yes, at Reed college","18-25","Woman","No"
"2024/04/17 12:45:37 PM MDT","Tired but genuine. The lack of capitalization and amount of separate messages implies that they are a gen-Z teen/twenty something who has spent a moderate amount of time online. Thoughtful too because of the correct spelling and word choice","Neutral","No","Yes","Neutral","Neutral","Yes","Chatty and friendly. Idk how to describe this, but I think that they type quickly. Definitely had spent a good amount of time online due to word choices like  “wanna”. the emoji makes me think that they are very expressive and friendly. Definitely a young person (regular ellipsis not Scary Boomet Ellipsis). They seem to know their conversation partners well (no need to explain “good pizza” vs “bad pizza”)","Yes","Neutral","Yes","Yes","Neutral","Yes","Cute emoji/puppy dog eyes emoji/ 👉🏻👈🏻 emoji","Awwww (sad)/ Awwww (that’s cute!)/please/pwease (sarcasm)/ sarcasm/ this message was ironic","1","When I’m being sarcastic or attempting to ironically use a “baby voice” tone.","2","","Yes, at Reed college","18-25","Nonbinary","Yes"
"2024/04/17 12:50:53 PM MDT","Nice","Yes","No","Yes","Yes","Neutral","Yes","I confident","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Plz","Begging low key","1","Sarcastically when asking for something but not meaning it","3","","Yes, at Reed college","18-25","Ehh","No"
